Color,Type,Brand
Ivory White,PLA Matte,Bambu
Latte Brown,PLA Matte,Bambu
Desert Tan,PLA Matte,Bambu
Ash Gray,PLA Matte,Bambu
Lilac Purple,PLA Matte,Bambu
Sakura Pink,PLA Matte,Bambu
Mandarin Orange,PLA Matte,Bambu
Lemon Yellow,PLA Matte,Bambu
Scarlet Red,PLA Matte,Bambu
Dark Red,PLA Matte,Bambu
Dark Brown,PLA Matte,Bambu
Dark Green,PLA Matte,Bambu
Grass Green,PLA Matte,Bambu
Ice Blue,PLA Matte,Bambu
Marine Blue,PLA Matte,Bambu
Dark Blue,PLA Matte,Bambu
Charcoal,PLA Matte,Bambu
Ice Marine Blue,PLA Matte,Bambu