,Rear,Base,Mid,Tip
1,0.0052,0.0051,0.0052,0.0053
2,0.0052,0.0051,0.0055,0.0062
3,0.0048,0.0045,0.004,0.0044
4,0.0052,0.005,0.0051,0.0055
5,0.0053,0.0052,0.0057,0.0064
6,0.0053,0.0051,0.0044,0.0042
7,0.0048,0.0046,0.0043,0.0036
8,0.0052,0.0049,0.0041,0.0039
9,0.0049,0.0047,0.0045,0.0044
10,0.0057,0.0058,0.0061,0.0063
11,0.0052,0.005,0.0041,0.0041
12,0.0053,0.005,0.0051,0.0058
13,0.0057,0.0057,0.0071,0.008
14,0.0051,0.0049,0.0055,0.0059
15,0.0054,0.0054,0.0056,0.0064
16,0.0056,0.0057,0.006,0.0066
17,0.0049,0.0047,0.0045,0.0048
18,0.0051,0.0048,0.0041,0.0042